,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Lábrea,100,BR,1601501777,94,-7.26,-64.8,73.77800000000008,0.82
1,Rikitea,72,PF,1601501777,82,-23.12,-134.97,71.816,10.82
2,São Borja,4,BR,1601501777,46,-28.66,-56.0,85.37000000000006,2.23
3,Saint-Vallier,90,FR,1601501777,93,46.64,4.37,53.6,1.0
4,Barrow,90,US,1601501498,95,71.29,-156.79,32.0,8.2
5,Barreirinha,96,BR,1601501778,44,-2.79,-57.07,89.2760000000001,1.09
6,Avarua,21,CK,1601501778,83,-21.21,-159.78,78.80000000000001,9.8
7,Ushuaia,90,AR,1601501779,93,-54.8,-68.3,32.0,9.3
8,Riyadh,0,SA,1601501779,27,24.69,46.72,78.80000000000001,3.1
9,Upernavik,65,GL,1601501779,91,72.79,-56.15,24.691999999999997,2.95
10,Atuona,13,PF,1601501780,78,-9.8,-139.03,77.95400000000006,8.47
11,Hong Kong,100,HK,1601501619,84,22.29,114.16,78.99800000000002,0.45
12,Alice Town,1,BS,1601501780,69,25.72,-79.3,83.87600000000009,1.51
13,Nouadhibou,0,MR,1601501781,83,20.93,-17.03,71.6,7.2
14,Punta Arenas,75,CL,1601501659,48,-53.15,-70.92,39.2,6.7
15,Port Alfred,73,ZA,1601501781,76,-33.59,26.89,61.86200000000006,9.22
16,Iqaluit,20,CA,1601501782,59,63.75,-68.51,33.8,6.7
17,Mar del Plata,90,AR,1601501579,54,-38.0,-57.56,59.0,5.1
18,Souillac,75,MU,1601501782,88,-20.52,57.52,68.0,2.6
19,Saint Paul Harbor,90,US,1601501782,87,57.79,-152.41,51.8,10.8
20,Yellowknife,90,CA,1601501702,93,62.46,-114.35,42.008,2.6
21,Conceição do Araguaia,44,BR,1601501495,40,-8.26,-49.26,88.808,2.18
22,Bambous Virieux,75,MU,1601501783,88,-20.34,57.76,69.99800000000002,2.6
23,Bay Roberts,49,CA,1601501784,1,47.6,-53.26,71.99600000000005,6.44
24,Hilo,40,US,1601501547,66,19.73,-155.09,86.0,3.6
25,Vaini,75,TO,1601501784,88,-21.2,-175.2,77.0,4.6
26,Tiarei,75,PF,1601501785,78,-17.53,-149.33,78.80000000000001,4.6
27,Vila Franca do Campo,75,PT,1601501785,77,37.72,-25.43,68.0,2.19
28,Mbeya,13,TZ,1601501785,68,-8.9,33.45,59.900000000000006,3.38
29,Nador,81,MA,1601501786,83,35.17,-2.93,71.6,1.0
30,Nome,1,US,1601501786,57,64.5,-165.41,48.2,8.2
31,Pontes e Lacerda,42,BR,1601501786,28,-15.23,-59.34,94.208,2.06
32,Port Elizabeth,75,ZA,1601501787,77,-33.92,25.57,59.0,7.2
33,Melita,100,CA,1601501787,74,49.27,-101.0,48.00200000000008,8.49
34,Kapaa,1,US,1601501787,66,22.08,-159.32,86.0,3.6
35,Pangnirtung,20,CA,1601501788,47,66.15,-65.71,33.8,1.5
36,George Town,20,MY,1601501788,94,5.41,100.34,78.80000000000001,1.0
37,Senanga,90,ZM,1601501789,64,-16.12,23.27,70.82600000000009,1.26
38,Palmira,50,CO,1601501789,53,3.54,-76.3,71.99600000000005,1.66
39,Luangwa,1,ZM,1601501789,48,-15.62,30.42,81.91400000000004,4.05
40,Morbegno,24,IT,1601501790,88,46.14,9.57,59.0,0.86
41,Hermanus,96,ZA,1601501790,87,-34.42,19.23,51.00800000000001,4.02
42,Alofi,75,NU,1601501790,78,-19.06,-169.92,82.4,3.6
43,Lavumisa,70,SZ,1601501791,90,-27.31,31.89,60.58399999999999,3.07
44,Mahébourg,75,MU,1601501791,88,-20.41,57.7,68.0,2.6
45,Pangoa,35,PE,1601501792,54,-12.12,-73.0,81.46400000000003,1.21
46,Yarmouth,1,US,1601501792,68,41.71,-70.23,68.0,8.7
47,Geraldton,90,AU,1601501792,93,-28.77,114.6,55.400000000000006,2.6
48,Ersekë,0,AL,1601501792,87,40.34,20.68,45.23000000000004,0.89
49,Mataura,97,NZ,1601501793,87,-46.19,168.86,44.40200000000008,1.4
50,Saldanha,63,ZA,1601501793,81,-33.01,17.94,51.8,4.1
51,Cape Town,75,ZA,1601501972,81,-33.93,18.42,55.004000000000055,12.3
52,Puerto Ayora,40,EC,1601501794,64,-0.74,-90.35,75.2,9.3
53,Hithadhoo,100,MV,1601501794,73,-0.6,73.08,82.85,3.05
54,Buenos Aires,0,AR,1601501670,73,-34.61,-58.38,75.00200000000008,4.1
55,Jamestown,90,US,1601501795,62,42.1,-79.24,60.00800000000001,9.3
56,Tuktoyaktuk,20,CA,1601501795,86,69.45,-133.04,41.0,3.6
57,Tasiilaq,100,GL,1601501795,55,65.61,-37.64,35.6,3.6
58,Provideniya,20,RU,1601501796,80,64.38,-173.3,39.2,4.0
59,Fairbanks,75,US,1601501732,33,64.84,-147.72,59.0,6.2
60,Sakakah,0,SA,1601501796,17,29.97,40.21,82.4,2.1
61,Ucluelet,5,CA,1601501797,77,48.93,-125.55,68.0,4.1
62,Viedma,8,AR,1601501797,46,-40.81,-63.0,55.99400000000007,0.89
63,Qaanaaq,0,GL,1601501797,79,77.48,-69.36,11.354000000000052,2.74
64,Kahului,40,US,1601501798,52,20.89,-156.47,89.6,5.7
65,Vestmannaeyjar,100,IS,1601501798,71,63.44,-20.27,41.342,6.91
66,Mozarlândia,6,BR,1601501798,16,-14.74,-50.57,94.55000000000001,3.96
67,Sitka,90,US,1601501799,82,57.05,-135.33,57.2,8.2
68,Araouane,0,ML,1601501799,12,18.9,-3.53,98.25800000000001,2.51
69,Huron,94,US,1601501799,83,41.15,-82.55,57.992,2.68
70,Bonnyville,75,CA,1601501800,53,54.27,-110.73,48.2,5.7
71,Thompson,75,CA,1601501800,82,55.74,-97.86,42.8,9.8
72,Acapulco de Juárez,20,MX,1601501733,74,16.86,-99.89,86.0,4.1
73,Mazagão,59,BR,1601501801,66,-0.12,-51.29,87.80000000000001,5.7
74,Caucaia,3,BR,1601501801,69,-3.74,-38.65,80.6,6.2
75,La Asuncion,86,VE,1601501801,81,11.03,-63.86,82.41800000000009,5.69
76,Touros,40,BR,1601501801,78,-5.2,-35.46,78.80000000000001,3.6
77,Lagunas,46,PE,1601501802,75,-5.23,-75.68,80.42000000000007,1.71
78,Port Hardy,75,CA,1601501802,60,50.7,-127.42,71.6,3.6
79,Comodoro Rivadavia,40,AR,1601501803,23,-45.87,-67.5,60.8,12.9
80,Mayor Pablo Lagerenza,0,PY,1601501803,24,-19.93,-60.77,98.83399999999999,4.71
81,Lüderitz,5,NA,1601501803,68,-26.65,15.16,54.87800000000007,9.14
82,Saint George,1,US,1601501677,8,37.1,-113.58,91.00400000000005,0.73
83,Dikson,100,RU,1601501804,96,73.51,80.55,38.3,10.9
